,AcX,AcY,AcZ,FSR A,FSR B,Gesture,Position
579,-14116.0,-6816.0,-2808.0,1216.0,0.0,0,1.0
581,-14112.0,-7044.0,-2612.0,1244.0,0.0,0,1.0
583,-14140.0,-6816.0,-2644.0,1209.0,0.0,0,1.0
585,-14108.0,-6840.0,-2588.0,1213.0,0.0,0,1.0
587,-14056.0,-6820.0,-2592.0,1215.0,0.0,0,1.0
589,-13960.0,-6896.0,-2528.0,1221.0,0.0,0,1.0
591,-14020.0,-6900.0,-2652.0,1259.0,0.0,0,1.0
593,-14000.0,-6900.0,-2608.0,1213.0,0.0,0,1.0
595,-14120.0,-6784.0,-2576.0,1218.0,0.0,0,1.0
597,-14028.0,-6864.0,-2740.0,1205.0,0.0,0,1.0
599,-14116.0,-6860.0,-2628.0,1233.0,0.0,0,1.0
601,-13988.0,-6812.0,-2588.0,1158.0,0.0,0,1.0
603,-14160.0,-6724.0,-2624.0,1218.0,0.0,0,1.0
605,-14168.0,-6752.0,-2648.0,1216.0,0.0,0,1.0
607,-14116.0,-6728.0,-2568.0,1217.0,0.0,0,1.0
609,-14056.0,-6820.0,-2692.0,1218.0,0.0,0,1.0
611,-14048.0,-6808.0,-2524.0,1167.0,0.0,0,1.0
613,-14060.0,-6808.0,-2636.0,1217.0,0.0,0,1.0
615,-14160.0,-6768.0,-2576.0,1218.0,0.0,0,1.0
617,-14192.0,-6800.0,-2552.0,1206.0,0.0,0,1.0
619,-14176.0,-6800.0,-2680.0,1222.0,0.0,0,1.0
621,-14132.0,-6712.0,-2528.0,1264.0,0.0,0,1.0
623,-14112.0,-6856.0,-2696.0,1216.0,0.0,0,1.0
625,-14100.0,-6744.0,-2744.0,1219.0,0.0,0,1.0
627,-14112.0,-6760.0,-2540.0,1211.0,0.0,0,1.0
629,-14172.0,-6632.0,-2716.0,1221.0,0.0,0,1.0
631,-13956.0,-6736.0,-2624.0,1265.0,0.0,0,1.0
633,-14116.0,-6700.0,-2436.0,1217.0,0.0,0,1.0
635,-14148.0,-6744.0,-2664.0,1213.0,0.0,0,1.0
637,-14148.0,-6740.0,-2448.0,1215.0,0.0,0,1.0
639,-14068.0,-6664.0,-2684.0,1214.0,0.0,0,1.0
641,-14160.0,-6584.0,-2664.0,1179.0,0.0,0,1.0
643,-14120.0,-6596.0,-2748.0,1214.0,0.0,0,1.0
645,-14020.0,-6676.0,-2692.0,1216.0,0.0,0,1.0
647,-14132.0,-6808.0,-2636.0,1215.0,0.0,0,1.0
649,-14044.0,-6672.0,-2728.0,1223.0,0.0,0,1.0
651,-14132.0,-6620.0,-2700.0,1168.0,0.0,0,1.0
653,-13976.0,-6744.0,-2712.0,1217.0,0.0,0,1.0
655,-14000.0,-6828.0,-2684.0,1219.0,0.0,0,1.0
657,-13960.0,-6688.0,-2572.0,1216.0,0.0,0,1.0
659,-14156.0,-6712.0,-2760.0,1216.0,0.0,0,1.0
661,-14084.0,-6836.0,-2620.0,1248.0,0.0,0,1.0
663,-14256.0,-6772.0,-2632.0,1217.0,0.0,0,1.0
665,-14232.0,-6688.0,-2656.0,1216.0,0.0,0,1.0
667,-14216.0,-6824.0,-2764.0,1216.0,0.0,0,1.0
669,-14180.0,-6768.0,-2820.0,1220.0,0.0,0,1.0
671,-14196.0,-6856.0,-2644.0,1214.0,0.0,0,1.0
673,-14236.0,-6912.0,-2704.0,1214.0,0.0,0,1.0
675,-14196.0,-6876.0,-2596.0,1215.0,0.0,0,1.0
677,-14268.0,-6728.0,-2668.0,1217.0,0.0,0,1.0
679,-14128.0,-6736.0,-2772.0,1209.0,0.0,0,1.0
681,-14180.0,-6640.0,-2676.0,1180.0,0.0,0,1.0
683,-14056.0,-6724.0,-2720.0,1216.0,0.0,0,1.0
685,-14128.0,-6788.0,-2732.0,1219.0,0.0,0,1.0
687,-14148.0,-6768.0,-2576.0,1209.0,0.0,0,1.0
689,-14076.0,-6708.0,-2676.0,1211.0,0.0,0,1.0
691,-14156.0,-6812.0,-2808.0,1191.0,0.0,0,1.0
693,-14128.0,-6876.0,-2612.0,1216.0,0.0,0,1.0
695,-14168.0,-6756.0,-2744.0,1222.0,0.0,0,1.0
697,-14048.0,-6768.0,-2872.0,1209.0,0.0,0,1.0
699,-14236.0,-6736.0,-2728.0,1214.0,0.0,0,1.0
701,-14172.0,-6616.0,-2712.0,1231.0,0.0,0,1.0
703,-14152.0,-6692.0,-2800.0,1216.0,0.0,0,1.0
705,-14184.0,-6680.0,-2820.0,1214.0,0.0,0,1.0
707,-14184.0,-6620.0,-2712.0,1216.0,0.0,0,1.0
709,-14280.0,-6736.0,-2832.0,1216.0,0.0,0,1.0
711,-14168.0,-6712.0,-2900.0,1218.0,0.0,0,1.0
713,-14228.0,-6688.0,-2692.0,1213.0,0.0,0,1.0
715,-14188.0,-6644.0,-2584.0,1209.0,0.0,0,1.0
717,-14160.0,-6752.0,-2788.0,1215.0,0.0,0,1.0
719,-14068.0,-6660.0,-2652.0,1216.0,0.0,0,1.0
721,-14148.0,-6724.0,-2824.0,1216.0,0.0,0,1.0
723,-14120.0,-6744.0,-2884.0,1216.0,0.0,0,1.0
725,-14164.0,-6788.0,-2800.0,1213.0,0.0,0,1.0
727,-14140.0,-6668.0,-2776.0,1216.0,0.0,0,1.0
729,-14092.0,-6668.0,-2736.0,1209.0,0.0,0,1.0
731,-14160.0,-6676.0,-2764.0,1197.0,0.0,0,1.0
733,-14212.0,-6724.0,-2796.0,1216.0,0.0,0,1.0
735,-14112.0,-6724.0,-2828.0,1216.0,0.0,0,1.0
737,-14088.0,-6660.0,-2692.0,1202.0,0.0,0,1.0
739,-14156.0,-6696.0,-2640.0,1187.0,0.0,0,1.0
741,-14092.0,-6612.0,-2764.0,1259.0,0.0,0,1.0
743,-14276.0,-6652.0,-2772.0,1228.0,0.0,0,1.0
745,-14132.0,-6688.0,-2756.0,1215.0,0.0,0,1.0
747,-13964.0,-6548.0,-2736.0,1214.0,0.0,0,1.0
749,-14088.0,-6704.0,-2744.0,1250.0,0.0,0,1.0
751,-14156.0,-6724.0,-2728.0,1234.0,0.0,0,1.0
753,-14104.0,-6748.0,-2840.0,1213.0,0.0,0,1.0
755,-14148.0,-6696.0,-2584.0,1219.0,0.0,0,1.0
757,-14100.0,-6628.0,-2776.0,1220.0,0.0,0,1.0
759,-14084.0,-6556.0,-2744.0,1262.0,0.0,0,1.0
761,-14240.0,-6612.0,-2648.0,1219.0,0.0,0,1.0
763,-13976.0,-6684.0,-2756.0,1211.0,0.0,0,1.0
765,-14180.0,-6776.0,-2792.0,1219.0,0.0,0,1.0
767,-14120.0,-6704.0,-2844.0,1216.0,0.0,0,1.0
769,-14012.0,-6772.0,-2816.0,1139.0,0.0,0,1.0
771,-14124.0,-6696.0,-2792.0,1243.0,0.0,0,1.0
773,-14184.0,-6580.0,-2692.0,1211.0,0.0,0,1.0
775,-14064.0,-6584.0,-2820.0,1216.0,0.0,0,1.0
777,-14156.0,-6584.0,-2788.0,1198.0,0.0,0,1.0
