AcX,AcY,AcZ,FSR A,FSR B
-14280,-6736,-2832,1216,0
,,,,
-14168,-6712,-2900,1218,0
,,,,
-14228,-6688,-2692,1213,0
,,,,
-14188,-6644,-2584,1209,0
,,,,
-14160,-6752,-2788,1215,0
,,,,
-14068,-6660,-2652,1216,0
,,,,
-14148,-6724,-2824,1216,0
,,,,
-14120,-6744,-2884,1216,0
,,,,
-14164,-6788,-2800,1213,0
,,,,
-14140,-6668,-2776,1216,0
,,,,
-14092,-6668,-2736,1209,0
,,,,
-14160,-6676,-2764,1197,0
,,,,
-14212,-6724,-2796,1216,0
,,,,
-14112,-6724,-2828,1216,0
,,,,
-14088,-6660,-2692,1202,0
,,,,
-14156,-6696,-2640,1187,0
,,,,
-14092,-6612,-2764,1259,0
,,,,
-14276,-6652,-2772,1228,0
,,,,
-14132,-6688,-2756,1215,0
,,,,
-13964,-6548,-2736,1214,0
,,,,
-14088,-6704,-2744,1250,0
,,,,
-14156,-6724,-2728,1234,0
,,,,
-14104,-6748,-2840,1213,0
,,,,
-14148,-6696,-2584,1219,0
,,,,
-14100,-6628,-2776,1220,0
,,,,
-14084,-6556,-2744,1262,0
,,,,
-14240,-6612,-2648,1219,0
,,,,
-13976,-6684,-2756,1211,0
,,,,
-14180,-6776,-2792,1219,0
,,,,
-14120,-6704,-2844,1216,0
,,,,
-14012,-6772,-2816,1139,0
,,,,
-14124,-6696,-2792,1243,0
,,,,
-14184,-6580,-2692,1211,0
,,,,
-14064,-6584,-2820,1216,0
,,,,
-14156,-6584,-2788,1198,0
,,,,
-14220,-6552,-2632,1147,0
,,,,
-14232,-6604,-2868,1210,0
,,,,
-14224,-6620,-2784,1210,0
,,,,
-14116,-6604,-2708,1211,0
,,,,
-14212,-6668,-2876,1197,0
,,,,
-14156,-6752,-2780,1233,0
,,,,
-14268,-6688,-2596,1209,0
,,,,
-14288,-6604,-2856,1218,0
,,,,
-14116,-6596,-2656,1216,0
,,,,
-14044,-6576,-2644,1225,0
,,,,
-14032,-6608,-2628,1264,0
,,,,
-14100,-6684,-2780,1216,0
,,,,
-14128,-6608,-2732,1213,0
,,,,
-14100,-6564,-2652,1211,0
,,,,
-14152,-6588,-2696,1222,0
,,,,
-14208,-6588,-2812,1187,0
,,,,
-14228,-6648,-2716,1217,0
,,,,
-14088,-6632,-2900,1211,0
,,,,
-14096,-6716,-2756,1216,0
,,,,
-13992,-6780,-2752,1213,0
,,,,
-14180,-6696,-2852,1171,0
,,,,
-14044,-6684,-2704,1203,0
,,,,
-14068,-6592,-2760,1214,0
,,,,
-14072,-6696,-2632,1215,0
,,,,
-14196,-6680,-2776,1216,0
,,,,
-14164,-6680,-2744,1163,0
,,,,
-14080,-6636,-2676,1211,0
,,,,
-14084,-6628,-2860,1212,0
,,,,
-14152,-6748,-2912,1213,0
,,,,
-14020,-6800,-2688,1194,0
,,,,
-14112,-6712,-2812,1233,0
,,,,
-14044,-6748,-2852,1213,0
,,,,
-14096,-6712,-2796,1214,0
,,,,
-14096,-6772,-2900,1211,0
,,,,
-14048,-6844,-2748,1197,0
,,,,
-14116,-6712,-2800,1168,0
,,,,
-14112,-6844,-2724,1213,0
,,,,
-14136,-6788,-2764,1211,0
,,,,
-14124,-6848,-2900,1212,0
,,,,
-14152,-6788,-2896,1216,0
,,,,
-14112,-6868,-2824,1152,0
,,,,
-14056,-6928,-2912,1200,0
,,,,
-14088,-6792,-2904,1200,0
,,,,
-14224,-6812,-2772,1210,0
,,,,
-14068,-6788,-2720,1232,0
,,,,
-14128,-6728,-2780,1249,0
,,,,
-14036,-6812,-2884,1207,0
,,,,
-14152,-6812,-2808,1203,0
,,,,
-14132,-6792,-2872,1207,0
,,,,
-14100,-6744,-2760,1203,0
,,,,
-13948,-6688,-2808,1259,0
,,,,
-14056,-6792,-2800,1207,0
,,,,
-13988,-6968,-2904,1210,0
,,,,
-13956,-6976,-2816,1207,0
,,,,
-13920,-6952,-2856,1211,0
,,,,
-14008,-6768,-2784,1173,0
,,,,
-14188,-6840,-2808,1207,0
,,,,
-14048,-6660,-2824,1204,0
,,,,
-14092,-6616,-2872,1212,0
,,,,
-14204,-6584,-2804,1206,0
,,,,
-14104,-6656,-2960,1170,0
,,,,
-14228,-6644,-2788,1200,0
,,,,
-14200,-6664,-3012,1200,0
,,,,
-14216,-6860,-3008,1204,0
,,,,
-14216,-6680,-2840,1206,0
,,,,
-14080,-6852,-2804,1247,0
,,,,
-14200,-6812,-2744,1202,0
,,,,
-14260,-6816,-2844,1213,0
,,,,
-14056,-6664,-2488,1210,0
,,,,
-14036,-6708,-2664,1211,0
,,,,
-14012,-6752,-2552,1249,0
,,,,
-14092,-6780,-2688,1214,0
,,,,
-14020,-6856,-2888,1211,0
,,,,
-13928,-6692,-2604,1212,0
,,,,
-14024,-6764,-2604,1214,0
,,,,
-14072,-6788,-2788,1232,0
,,,,
-14060,-6932,-2520,1214,0
,,,,
-14076,-6852,-2656,1206,0
,,,,
-14084,-6816,-2740,1211,0
,,,,
-14144,-6748,-2600,1203,0
,,,,
-14168,-6692,-2428,1209,0
,,,,
-14092,-6720,-2680,1214,0
,,,,
-14088,-6836,-2576,1206,0
,,,,
-14208,-6668,-2592,1230,0
,,,,
-14180,-6936,-2636,1214,0
,,,,
-14188,-6740,-2652,1182,0
,,,,
-14120,-6672,-2688,1214,0
,,,,
-14172,-6796,-2520,1202,0
,,,,
-14076,-6676,-2736,1179,0
,,,,
-14192,-6772,-2740,1205,0
,,,,
-14080,-6884,-2796,1203,0
,,,,
-14288,-6792,-2828,1209,0
,,,,
-14128,-6640,-2624,1203,0
,,,,
-14056,-6780,-2704,1210,0
,,,,
-14080,-6696,-2780,1168,0
,,,,
-14116,-6652,-2668,1204,0
,,,,
